artist,title,mood,original_mood,lyrics
Hatebreed,I Will Be Heard,0,angry,"Now is the time for me to rise to my feet
Wipe your spit from my face, wipe these tears from my eyes
Now is the time for me to rise to my feet
Wipe your spit from my face, wipe these tears from my eyes

I've got to take my life back
One chance to make it right
I've gotta have my voice be heard
And bring meaning to this life

'Cause I trusted for nothing
I've been led astray
I've been tried and tested
But I won't accept defeat
Now I've done things I regret
And it's time to reverse the roles
Now I just wanna make good on
All the promises I have made

I will be
(I will be) I will be heard
...

******* This Lyrics is NOT for Commercial use *******"
Samuel E. Wright,Under The Sea,1,happy,"The seaweed is always greener
In somebody else's lake
You dream about going up there
But that is a big mistake
Just look at the world around you
Right here on the ocean floor
Such wonderful things surround you
What more is you lookin' for?

Under the sea
Under the sea
Darling it's better
Down where it's wetter
Take it from me
Up on the shore they work all day
Out in the sun they slave away
While we devotin'
Full time to floatin'
Under the sea

Down here all the fish is happy
As off through the waves they roll
The fish on the land ain't happy
They sad 'cause they in their bowl
But fish in the bowl is lucky
They in for a worser fate
One day when the boss get hungry
Guess who's gon' be on the plate
...

******* This Lyrics is NOT for Commercial use *******"
Susanna and the Magical Orchestra,Jolene,2,relaxed,"Your beauty is beyond compare,
With flaming locks of auburn hair,
With ivory skin and eyes of emerald green.
Your smile is like a breath of spring,
Your voice is soft like summer rain,
And I cannot compete with you, Jolene.

He talks about you in his sleep and
There's nothing I can do to keep
From crying when he calls your name, Jolene.

...

******* This Lyrics is NOT for Commercial use *******"
Lard,The Power of Lard,0,angry,"Lard!

Lard!

Lard! You can see it, in the clouds up in the sky.
Lard! Floats by in clusters in our water supply.
Lard! It's in all of us, man. Our pores, and in our hair.
Lard! What we conceal in those corny clothes we wear.

Lard is all.
Lard is divine.
Lard is in control.
Lard whips and chains our soul.
We carry credit cards.
We live in fear of art.
Lard is the Om.
Lard is revolution.
Lard is the tapeworm,
in the bottle of cheap tequila.
That comes alive at night,
And sneaks up and bite our nipples.

Lard.
Lard!

Nowadays, most of us need someone to run our personal life.
Someone to see that the plant are watered.
Someone to make sure the place is clean.
Someone to make sure dinner is waiting.
Someone to call for theater tickets.
Some one to make up those cheap excuses.
What we need is Lard!

Lard!

The answer.
The dancer.
The ointment.
The dream.

...

******* This Lyrics is NOT for Commercial use *******"
iLiKETRAiNS,Terra Nova,3,sad,"How could I have led these men
To their demise and they just follow?
Exploration's last great prize
It wasn't mine

And more's the shame
You will remember my name
...

******* This Lyrics is NOT for Commercial use *******"
They Might Be Giants,Birdhouse In Your Soul,1,happy,"I'm your only friend
I'm not your only friend
But I'm a little glowing friend
But really I'm not actually your friend
But I am

Blue canary in the outlet by the light switch
Who watches over you
Make a little birdhouse in your soul
Not to put too fine a point on it
Say I'm the only bee in your bonnet
Make a little birdhouse in your soul

I have a secret to tell
From my electrical well
It's a simple message
And I'm leaving out the whistles and bells
So the room must listen to me
Filibuster vigilantly
My name is blue canary, one note spelled l-i-t-e
My story's infinite
Like the Longines Symphonette, it doesn't rest

Blue canary in the outlet by the light switch
...

******* This Lyrics is NOT for Commercial use *******"
Wu-Tang Clan,Wu-Tang Clan Ain't Nuthing Ta F' Wit,0,angry,"Tiger style
Tiger style
Yo, huh, huh
Wu-Tang Clan ain't nuthing ta fuck wit
Wu-Tang Clan ain't nuthing ta fuck wit
Wu-Tang Clan ain't nuthing ta fuck wit
There's no place to hide once I step inside the room
Dr. Doom, prepare for the boom
Bam! Aw, man! I slam
Jam, now scream like Tarzan

I be tossin', enforcin', my style is awesome
I'm causin' more family feud's than Richard Dawson
And the survey said, ya dead
Fatal flying guillotine chops off your fuckin' head
RZA who was that? Aiyyo, the Wu is back
Makin' niggaz go bo bo!, Like on super cat
Me fear no-one, oh no, here come
The Wu-Tang shogun, killer to the eardrum

I puts the needle to the groove, I gets rude
And I'm forced to fuck it up my style carries like a pickup truck
Across the clear blue yonder
Seek the China sea, I slam tracks like quarterbacks sacks from L.T.
Now why try and test, the rebel INS?
Blessed since the birth, I earth-slam your best
'Cause I bake the cake, then take the cake
And eat it, too, with my crew while we head state to state

And if you want beef, then bring the ruckus
Wu-Tang Clan ain't nuthing ta fuck wit
Straight from the motherfucking slums that's busted
Wu-Tang Clan ain't nuthing ta fuck wit
...

******* This Lyrics is NOT for Commercial use *******"
Friendly Fires,Lovesick,1,happy,"Don't you know sometimes
These things they don't work out?
Best to walk away
Before your love runs out
Don't you feel sometimes
You don't know who you are
Giving all you got
But you're all just taking off

I'm love.sick
I'm lovesick
I'm love.sick
I'm lovesick

Cold hearts
Hold the world in your hands
Got me feeling lovesick
In your arms
In your arms
Cold hearts
Hold the world in your hands
Got me feeling lovesick
...

******* This Lyrics is NOT for Commercial use *******"
Burzum,Jesus' Tod,0,angry,"En skikkelse lå der på bakken
Så vond at de blomster rundt visnet
En dyster sjel lå der på bakken
...

******* This Lyrics is NOT for Commercial use *******"
Rage Against the Machine,Know Your Enemy,0,angry,"Huh!
Yeah, we're comin' back in with another bomb track
Think ya know it's all of that, huh!

Ayo, so check this out, yeah

Know your enemy

Come on!

Born with insight and a raised fist
A witness to the slit wrist as we move into '92
Still in a room without a view
Ya got to know, ya got to know that when I say go, go, go
Amp up and amplify, defy, I'm a brother with a furious mind
Action must be taken, we don't need the key, we'll break in

Something must be done about vengeance, a badge and a gun
'Cause I'll rip the mic, rip the stage, rip the system
I was born to rage against 'em
Fist in ya face in the place and I'll drop the style clearly
Know your enemy
...

******* This Lyrics is NOT for Commercial use *******"
Tunng,Man in the box,2,relaxed,"Distance
On the barrel
Chiming
Of the tin man
Drinking
The man in the box
...

******* This Lyrics is NOT for Commercial use *******"
Oceansize,Savant,3,sad,"The future age
cast asleep but the film remains
this aftertaste
all I want is that which I gave
master / slave
I burn fast on sinking ships
and I can talk
I place pride on tick and tock
this lonely silent shrine to dawn (lonely silence ran 'till dawn?)
rite of passage open doors
but I'm not frightened
master / slave
line and sinker take the bait
where others float
you and I crash land
where others float
you and I crash land

...

******* This Lyrics is NOT for Commercial use *******"
Machine Head,American High,0,angry,"Oh my god

Check it out
I was that kid sitting over in the corner
Smiling with a shit-eating grin
And I was that kid smiling in the back of class
'Cause I'm frying on mescaline
I was that kid drinking 40's on the bleachers
Getting drunk after school
Getting home too late, falling on my face
Way too drunk to skate and acting a fool
Drunk and acting a fool

I was that kid never doing good at nothing
Except for maybe at P.E.
And I was that kid getting bullied by the Filipinos
Rolling with the ABT
Me and my friends reading the Satanic Bible
Thinking we should start a band
Cutting class to jam, cutting class to jam
In my dad's garage we learned to...
...

******* This Lyrics is NOT for Commercial use *******"
Otep,T.R.I.C.,0,angry,"To all you weak MC's
All you hardcore wannabes
If you step into the ring, be prepared to swing!
What!

Me be the best to impress with dictation
Too far-fetched, beyond your imagination
I'll rise to the occasion, launchin' an invasion
Enterin' your mental like a viral infestation
Verbs be abrasive, joints I be lacin'
Sacrificin' mics, ignite the celebration
It's just amazing, poetically we blazin'
Xen and Otep, a volatile combination

Destroy like Revelations
Styles be liquid and flow like irrigation
So, make the preparation
Defeat is bittersweet, it's all you'll be tastin'!
Soundin' battle stations, my war face in place
Total annihilation, your existence's been erased
It's the Renaissance, switch up and change
Let the paragraph infiltrate your brain

T.R.I.C
T.R.I.C
T.R.I.C
T.R.I.C
...

******* This Lyrics is NOT for Commercial use *******"
Pat Monahan,Her Eyes,1,happy,"She's not afraid
She just likes to use her night light
When she gets paid
True religion gets it all if they fit right

She's a little bit manic, completely organic
Doesn't panic for the most part
She's old enough to know
And young enough not to say no

To any chance that she gets
For home plate tickets to see the Mets
Like everybody, she's in over her head
Dreads Feds, Grateful Dead, and doesn't take meds

She's a Gemini-Capricorn
Thinks all men are addicted to porn
I don't agree with her half the time
But damn, I'm glad she's mine

...

******* This Lyrics is NOT for Commercial use *******"
