artist,title,mood,original_mood,lyrics,word_count,avg_word_length
N.W.A,Fuck tha Police,0,angry,"Right about now NWA court is in full effect
Judge Dre residing in the case of NWA vs the police department
Prosecuting attourneys are MC Ren Ice Cube and Eazy motherfucking E
Order order order Ice Cube take the motherfucking stand
Do you swear to tell the truth the whole truth and nothing but the truth so help your black ass
You goddamn right
Well wont you tell everybody what the fuck you gotta say

Fuck the police coming straight from the underground
A young nigga got it bad cause Im brown
And not the other color so police think they have the authority to kill a minority
Fuck that shit cause I aint the one
For a punk motherfucker with a badge and a gun
To be beating on and thrown in jail
We can go toetotoe in the middle of a cell

Fucking with me cause Im a teenager
With a little bit of gold and a pager
Searching my car looking for the proda
Thinkin every nigga is sellin narcda
Youd rather see me in the pen
Than me and Lorenzo rolling in a Benzo
Beat a police outta shape and when Im finished bring the yellow tape
To tape off the scene of the slaughter
Still getting swole off bread and water
I dont know if they fags or what
Search a nigga down and grabbing his nuts
And on the other hand without a gun they cant get none
But dont let it be a black and a white one
Cause theyll slam ya down to the street top
Black police showing out for the white cop

Ice Cube will swarm on any motherfucker in a blue uniform
Just cause Im from the CPT punk police are afraid of me huh
A young nigga on a warpath and when Im finished its gonna be a bloodbath
Of cops dyin in LA yo Dre I got somethin to say

Fuck the police fuck fuck
Fuck the police fuck fuck
Fuck the police fuck the fuck the
Fuck the police example of scene one

Pull your goddamn ass over right now
Aw shit now what the fuck you pullin me over for
Cause I feel like it just sit your ass on the curb and shut the fuck up
Man fuck this shit
Alright smartass Im taking your blackass to jail
",394,3.9619289340101522
Ministry,Wrong,0,angry,"Youre wrong everytime
Youre wrong everytime

What makes you think youve got a god given right
For killing people in a needless fight
Youre like a rapist with a target in sight
Democracy

Whoever told you that you were bright
The skull and bones the conservative right
youre like a plague turning day into night
Atrocity

Youre wrong everytime
",59,4.762711864406779
Alice Cooper,Halo of Flies,0,angry,"Ive got the answers
To all of your questions
If youve got the money
To pay me in gold

I will be living
In old Monte Carlo
And you will be reading
The secrets I sold

Daggers and contacts
And bright shiny limos
Ive got a watch
",47,3.7872340425531914
Apostle of Hustle,Animal Fat,2,relaxed,"that sounds so nice

she did somethin for me one time
the gesture was sweet
said im doin this for you darlin
dont leave it on the street
with all those people
dont you know anything

drinkin steadily into the night
doin a sailors dance
far below the clock towers height
",51,4.254901960784314
Blue October,Razorblade,0,angry,"In the day by day collision
Called the art of growing up
Theres an innocence we look for in the stars
To be taken back to younger days
When there was no giving up
All the people we held closest to our hearts

Yeah it is you that I remember in that glowing
It is you that took my first away from me
It is you I set my standards to to every walk of life
I havent met another you since you were with me

Sing with me
A brief bout with a razorblade cut me
I freaked out thinking people didnt love me
I watched closely as the you I knew forgot me
In letting go I am so proud of what Ive done
",126,3.642857142857143
Black Flag,Room 13,0,angry,"Keep me alive
Only you can do it
If not youll die too
And Ill see to it

Its hard to survive
Dont know if I can do it

Keep me alive
I cant accept my fate
I need help
Before its too late

Its hard to survive dont know if I can do it
I need to belong I need to hang on
",64,3.140625
M. Ward,For Beginners,2,relaxed,"When youre absolute beginners
Its a panoramic view
From her majesty Mt Zion
And the kingdom is for you

Uhhuh
Uhhuh

When you tumble upon that valley
Shark or sparrow line the stairs
When the arrows start descending
Then they scatter everywhere

On a bookshelf in Caledonia
",47,4.76595744680851
Valley of the Giants,Bala Bay Inn,2,relaxed,"The Bala Bay Inn
Was built in 1910
Not much has changed in this hotel

People still come by
To dance dine and sing
And remember Louis Riel

Broke boats on the water
Wave to the train
Passing by

Steamships and planes
Will never stop here again
But I hope that I will
Sometime

Broke boats on the water
",59,4.0508474576271185
Sleeping at Last,Hurry,2,relaxed,"Hurry hurry
Come quickly
And leave all logic aside
Dont say a word
Just listen carefully to me

The world is ours if we could only let it be

Every move we make
Will trigger another
And evrey small mistake
Will be a messenger

",44,4.090909090909091
Janina,Nachts um halb drei,1,happy,"Wenn ich zuviel gesoffen habe nehme ich eine Aspirin
gegen jedes meiner kleinen Wehwehchen gibt es eine Medizin
wenn ich mit mir selbst nichts anfangen kann
habe ich ein Telefon und ruf einfach einen anderen an
wir haben Stadtpläne die uns die Wege weisen
wir können sogar schon ins Weltall reisen
",51,4.8431372549019605
Antony and the Johnsons,Free at Last,3,sad,"Way down yonder in the graveyard walk
I thank God Im free at last
Me and my Jesus going to meet and talk
I thank God Im free at last

On my knees when the light passed by
",38,3.473684210526316
Neil Young,I've Loved Her So Long,3,sad,"Shes a victim of her senses do you know her
Can you see her in the distance as she tumbles by
Veteran of a race that should be over
Can you hear her sigh
With wings to fly she rolls along
Doing it wrong

Oh Ive loved her so long
Oh Ive loved her so long
",56,3.517857142857143
Kool & The Gang,Summer Madness,2,relaxed,,0,0.0
Animal Collective,Who Could Win a Rabbit,1,happy,"Hungry bread and butter hussle
Youve been doing it a while it is only fair
Wheres your relaxation
Wheres the time required for your health

Been hatin on my new perspective
Been hurryin it along no meal is ever done
You could win a rabbit
You could have a rabbit

Or if the fast child is gonna have a dead hand
We can get him started yeah
Bad mind let me put on good habits
",75,3.96
Question Mark & The Mysterians,96 Tears,0,angry,"Too many teardrops
For one heart to be cryin
Too many teardrops
For one heart to carry on

Youre way on top now
Since you left me
Youre always laughin
Way down at me

But watch out now
Im gonna get there
Well be together
For just a little while

And then Im gonna put you
Way down here
And youll start cryin
96 tears

",65,3.830769230769231
Elvis Presley,In The Ghetto,3,sad,"As the snow flies
On a cold and gray Chicago mornin
A poor little baby child is born
In the ghetto
In the ghetto

And his mama cries
Cause if theres one thing that she dont need
It is another hungry mouth to feed
In the ghetto
In the ghetto

People dont you understand
The child needs a helping hand
Or hell grow to be an angry young man some day
Take a look at you and me
Are we too blind to see
Do we simply turn our heads
",90,3.7
Fabrizio De André,Preghiera In Gennaio,3,sad,"Lascia che sia fiorito
Signore il suo sentiero
Quando a te la sua anima
E al mondo la sua pelle
Dovrà riconsegnare
Quando verrà al tuo cielo
Là dove in pieno giorno
Risplendono le stelle

Quando attraverserà
Lultimo vecchio ponte
Ai suicidi dirà
Baciandoli alla fronte
Venite in paradiso
Là dove vado anchio
Perché non cè linferno
Nel mondo del buon Dio

Fate che giunga a voi
",67,4.597014925373134
João Gilberto,Samba Da Minha Terra,2,relaxed,"O samba da minha terra
Deixa a gente mole
Quando se canta
Todo mundo bole
Quando se canta
Todo mundo bole

O samba da minha terra
Deixa a gente mole
Quando se canta
Todo mundo bole
Quando se canta
Todo mundo bole

Quem não gosta de samba
Bom sujeito não é
",51,3.980392156862745
The Ronettes,Sleigh Ride,1,happy,"Just hear those sleigh bells jingling
Ring tingle tingling too ringalingalingadingdongding
Come on its lovely weather
For a sleigh ride together with you ringalingalingadingdongding

Outside the snow is falling
And friends are calling Yoo hoo ringalingalingadingdongding
Come on its lovely weather
For a sleigh ride together with you
Ringalingalingadingdongding
Ringalingalingadingdongding
Ringalingalingadingdongding
Ringalingalingadingdongding

Our cheeks are nice and rosy
",58,7.172413793103448
Rick James,Super Freak,1,happy,"Shes a very kinky girl
The kind you dont take home to mother
She will never let your spirits down
Once you get her off the street oh girl

She likes the boys in the band
She says that Im her all time favrite
When I make my move to her room its the right time
Shes never hard to please oh no

That girl is pretty wild now
The girls a super freak
The kind of girl you read about
In new wave magazines
That girl is pretty kinky
The girls a super freak
I really love to taste her
Every time we meet

Shes all right shes all right
That girls all right with me
Yeah hehehehey
",119,3.764705882352941
Laurie Anderson,Speak My Language,3,sad,"Daddy Daddy It was just like you said
Now that the living outnumber the dead

Where I come from its a long thin thread
Across an ocean Down a river of red
",32,3.8125
Keri Noble,Bartender,3,sad,"Bartender another
And make it a double
I cant go home
Im in some kind of trouble

What started so innocently
Turned to sin
And I cant get out
I am too deep in

Have you ever had everything youd ever wanted
A good life good friends and a loving companion
",51,3.9411764705882355
Jessica Simpson,A Public Affair,1,happy,"There go the street lights the nights officially on
I got the green light to do whatever I want
Im gonna stand outside the box and put the rules on hold

Tonight
Carte blanche first class for the evening
Ready set go

All the girls stepping out for a public affair
All night lets rock cause the party dont stop
All the cameras come out for a public affair
Who cares Lets rock cause the party dont stop

Hey baby I see you looking over here baby
Are you gonna keep looking or get up
And talk to me
Heres an opportunity that you dont wanna miss

Tonight
",108,4.074074074074074
